Descricao,Valor
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO RETROAURICULAR TIPO A,"525,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO RETROAURICULAR TIPO B,"700,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO RETROAURICULAR TIPO C,"1.100,00"
APARELHO FIXO BILATERAL PARA FECHAMENTO DE DIASTEMA,"10,00"
APARELHO ORTODÔNTICO FIXO,"175,00"
APARELHO ORTOPÉDICO E ORTODÔNTICO REMOVÍVEL,"60,00"
APARELHO ORTOPÉDICO FIXO,"175,00"
APARELHO P/ BLOQUEIO MAXILO-MANDIBULAR,"23,54"
APENDICECTOMIA,"414,62"
APENDICECTOMIA VIDEOLAPAROSCÓPICA,"421,40"
APICECTOMIA COM OU SEM OBTURAÇÃO RETRÓGRADA,"21,92"
APLICAÇÃO DE CARIOSTÁTICO (POR DENTE),"0,00"
APLICAÇÃO DE FATOR IX DE COAGULAÇÃO,"5,39"
APLICAÇÃO DE FATOR VIII DE COAGULAÇÃO,"5,39"
APLICAÇÃO DE PLACA RADIOATIVA EPISCLERAL,"1.145,16"
APLICAÇÃO DE SELANTE (POR DENTE),"0,00"
APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES,"0,00"
APLICAÇÃO DE TESTE P/ PSICODIAGNÓSTICO,"2,74"
APLICAÇÃO TÓPICA DE FLUOR (INDIVIDUAL POR SESSAO),"0,00"
APOIO A SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO POR CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
APOIO PARA ESTABILIZAÇÃO DA CABEÇA NA CADEIRA DE RODAS,"82,80"
APOIOS LATERAIS DE QUADRIL PARA CADEIRA DE RODAS,"90,50"
APOIOS LATERAIS DO TRONCO EM 3 OU 4 PONTOS,"90,50"
APROFUNDAMENTO DE VESTIBULO ORAL (POR SEXTANTE),"21,92"
APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA,"0,00"
ARITENOIDECTOMIA COM LARINGOFISSURA,"991,37"
ARRUELA DENTEADA,"41,06"
ARRUELA LISA,"8,05"
ARRUELAS DE TITÂNIO PARA CIRURGIA DA COLUNA,"86,81"
ARTERIOGRAFIA CÉRVICO-TORÁCICA,"201,01"
ARTERIOGRAFIA DE MEMBRO,"179,46"
ARTERIOGRAFIA DIGITAL (POR VIA VENOSA),"200,01"
ARTERIOGRAFIA P/ INVESTIGAÇÃO DE DOENÇA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL,"504,33"
ARTERIOGRAFIA P/ INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,"504,43"
ARTERIOGRAFIA P/ INVESTIGAÇÃO DE ISQUEMIA CEREBRAL,"504,43"
ARTERIOGRAFIA PÉLVICA,"170,44"
ARTERIOGRAFIA SELETIVA DE CARÓTIDA,"190,31"
ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO),"201,51"
ARTERIOGRAFIA SELETIVA VERTEBRAL,"201,01"
ARTROCENTESE DE GRANDES ARTICULAÇÕES,"30,69"
